Meeting,No.,Ag. Items,Ag. Items.1,Title,Submitted By,Submitted By.1,Submitted By.2,Submitted By.3,Submitted By.4,Submitted By.5,Submitted By.6,Submitted By.7,Submitted By.8,Submitted By.9,Submitted By.10,Submitted By.11,Submitted By.12,Submitted By.13,Submitted By.14,Submitted By.15,Submitted By.16,Submitted By.17,Submitted By.18,Submitted By.19,Submitted By.20,Submitted By.21,Submitted By.22,Submitted By.23,E,S,F,R,Attachments
ATCM XLV - CEP XXV (2023),WP001,CEP 9a,,"Management Plan for Antarctic Specially Protected Area No.165 Edmonson Point, Wood Bay, Victoria Land, Ross Sea
",Italy,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 165 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP002 rev. 1,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 122 Arrival Heights, Hut Point Peninsula, Ross Island
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 122 Map 1
ASPA 122 Map 2
ASPA 122 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP003,ATCM 13,CEP 10a,Surveillance and coordination for the prevention and detection of Highly Pathogenic Avian Influenza in Antarctica,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"U.S. Antarctic Program Highly Pathogenic Avian Influenza Guidance
"
ATCM XLV - CEP XXV (2023),WP004,ATCM 17,,Infrastructure supporting tourism and other non-governmental activities in Antarctica,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report of the ICG
"
ATCM XLV - CEP XXV (2023),WP005,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 108 Green Island, Berthelot Islands, Antarctic Peninsula ",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 108 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP006,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 117, Avian Island, Marguerite Bay, Antarctic Peninsula",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 117 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP007,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 147 Ablation Valley and Ganymede Heights, Alexander Island",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 147 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP008,CEP 9a,,"Revision of the Management Plan for Antarctic Specially Protected Area (ASPA) No. 170 Marion Nunataks, Charcot Island, Antarctic Peninsula ",United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 170 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP009,ATCM 15,CEP 10b,The United States Recognizes the Emperor Penguin as a Threatened Species and Provides Additional Protection for Emperor Penguins,United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP010,ATCM 15,,Promoting Diversity and Inclusion among Antarctic operators and expeditions,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP011,CEP 9a,,Report on the informal ICG to develop an ASPA Draft Management Plan for Danger Islands Archipelago (North-eastern Antarctic Peninsula),Germany,United States,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Draft Management Plan for ASPA Danger Islands Archipelago
"
ATCM XLV - CEP XXV (2023),WP012,CEP 7b,,Preparation of the next Joint CEP/SC-CAMLR Workshop,France,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP013,ATCM 17,,"Dedicated process for the development of a comprehensive and consistent framework for Antarctic tourism and other non-governmental activities
",France,Netherlands,Belgium,Finland,Germany,India,New Zealand,Norway,Poland,Spain,Türkiye,United Kingdom,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP014,CEP 10a,,Review of International Maritime Organization (IMO) and Antarctic Treaty system (ATS) guidelines and agreements concerning ship biofouling and ballast water management,Australia,New Zealand,United Kingdom,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report
"
ATCM XLV - CEP XXV (2023),WP015 rev. 2,ATCM 12a,ATCM 12b,Proposal for an Intersessional Process to Review the Use and Maintenance of the Multi-Year Strategic Work Plan,Australia,Belgium,Netherlands,New Zealand,Norway,Sweden,United States,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP016,ATCM 10,,Report of the intersessional contact group to review the Scientific Information in the Electronic Information Exchange System,Spain,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP017,CEP 11,,Environmental monitoring: an international framework,Netherlands,France,Belgium,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP018,CEP 11,,Contribution of information to inform State of the Antarctic Environment Reporting (SAER): a potential new SCAR initiative,SCAR,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Report of the SCAR Ant-ICON Workshops on State of the Environment Reporting (SAER)
"
ATCM XLV - CEP XXV (2023),WP019,ATCM 17,,Urgent measures to be taken with respect to certain tourist and non-governmental activities ,France,Netherlands,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP020,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 137 Northwest White Island, McMurdo Sound
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 137 Map 1
ASPA 137 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP021 rev. 1,CEP 4,,Update to the Procedure for CEP consideration of draft CEEs,Norway,Germany,India,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP022,CEP 4,,Nomination and election procedures – CEP Chair,Norway,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"Revised CEP Rules of Procedure
"
ATCM XLV - CEP XXV (2023),WP023,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 123 Barwick and Balham Valleys, Southern Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 123 Map 1
ASPA 123 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP024,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 172 Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 172 Map 1
ASPA 172 Map 2
ASPA 172 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP025,ATCM 11,,Sixth report of the Intersessional Contact Group on Education and Outreach,Bulgaria,Belgium,Brazil,Chile,COMNAP,Czechia,Finland,IAATO,India,Italy,Korea (ROK),Malaysia,Poland,Portugal,Romania,SCAR,South Africa,Spain,United Kingdom,United States,,,,,X,X,X,X,
ATCM XLV - CEP XXV (2023),WP026,CEP 9a,,"Revised Management Plan for Antarctic Specially Protected Area No. 138 Linnaeus Terrace, Asgard Range, Victoria Land
",United States,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 138 Map 1
ASPA 138 Map 2
ASPA 138 Revised Management Plan
"
ATCM XLV - CEP XXV (2023),WP027,CEP 9b,,"Relocation of artefacts from HSM 68: Supply depot, Hell’s Gate Moraine",New Zealand,United Kingdom,Norway,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"List of artefacts from HSM 68: Supply depot, Hell’s Gate Moraine
"
ATCM XLV - CEP XXV (2023),WP028 rev. 1,CEP 9a,,"Review of the Management Plan for Antarctic Specially Protected Area No.156: Lewis Bay, Mount Erebus, Ross Island ",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,"ASPA 156 Map 1
ASPA 156 Map 2
ASPA 156 Revised Management Plan
"
